Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Low|PCP|H|DPH|DIMENSION_1|HQ_EMAIL|2|10|Y
US_304486|US_304486|Low|PCP|M|DPH|DIMENSION_1|HQ_EMAIL|1|7|Y
US_304486|US_304486|Low|PCP|L|DPH|DIMENSION_1|HQ_EMAIL|1|5|Y
US_304486|US_304486|Low|PCP|VL|DPH|DIMENSION_1|HQ_EMAIL|0|2|Y
US_304486|US_304486|Low|PCP|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Low|BOTH|VH|DPH|DIMENSION_1|HQ_EMAIL|2|6|Y
US_304486|US_304486|Low|BOTH|H|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Low|BOTH|M|DPH|DIMENSION_1|HQ_EMAIL|1|4|Y
US_304486|US_304486|Low|BOTH|L|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Low|BOTH|VL|DPH|DIMENSION_1|HQ_EMAIL|0|1|Y
US_304486|US_304486|Low|BOTH|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|VH|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|H|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|M|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|L|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|VL|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|VH|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|H|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|M|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|L|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|VL|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|VH|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|H|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|M|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|L|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|VL|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
