brand,indication,channel,email_template_vault_id,email_fragment_vault_id,customer_segment,tactic_start_date,tactic_end_date,tactic_expiration_date,content_category,content_sub_category,department,email_template_name_in_rep_text,email_fragment_name_in_rep_text
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1065741,1257430,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/4/2022,9/19/2023,9/19/2023,Safety,Side Effects,Retail,Verzenio EBC Free Text VAE,Side Effect Management
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1065741,1257455,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/4/2022,9/19/2023,9/19/2023,Efficacy,MonarchE,Retail,Verzenio EBC Free Text VAE,Efficacy - IDFS Data
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1133603,1133605,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/19/2022,9/19/2023,9/19/2023,Dosing,,Retail,Verzenio_Resources VAE_EBC Update,Dosing - Dosing and Admin Guide
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1133603,1133607,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/4/2022,9/19/2023,9/19/2023,Patient or Customer Support,,Retail,Verzenio_Resources VAE_EBC Update,Patient or Customer support - Patient Brochure
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1133603,1133614,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/4/2022,9/19/2023,9/19/2023,Patient or Customer Support,,Retail,Verzenio_Resources VAE_EBC Update,Patient or Customer support - Digital Starter Kit
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1133603,1133617,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/4/2022,9/19/2023,9/19/2023,Patient or Customer Support,,Retail,Verzenio_Resources VAE_EBC Update,Patient or Customer support - Verzenio Continuous Care Program
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1133603,1133619,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/4/2022,9/19/2023,9/19/2023,Patient or Customer Support,,Retail,Verzenio_Resources VAE_EBC Update,Patient or Customer support - Patient Start Guide
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1264383,1352429,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,12/12/2022,12/12/2023,12/12/2023,Patient Type or Identification,,Retail,Verzenio Vision Lilly Play 2022 VAE,Patient ID - High Risk of Recurrence
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1264383,1352431,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,12/12/2022,12/12/2023,12/12/2023,Efficacy,MonarchE,Retail,Verzenio Vision Lilly Play 2022 VAE,Efficacy - MonarchE
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1264383,1352438,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,12/12/2022,12/12/2023,12/12/2023,Patient or Customer Support,,Retail,Verzenio Vision Lilly Play 2022 VAE,Patient Support - Verzenio Continuous Care
Verzenio,Breast Cancer - Early,VEEVA_EMAIL,1377717,,CRITICAL;HIGH;MEDIUM;LOW;NONSF;NPP_NON_TARGET;NA,9/19/2022,9/19/2023,9/19/2023,PATIENT AFFORDABILITY,,Retail,2023 Verzenio Savings Card VAE,
Retevmo,Overall,VEEVA_EMAIL,1006081,992646,NICK;SINGLETON;THEO;NPP_NON_TARGET,12/19/2022,8/31/2023,8/31/2023,Efficacy,Thyroid,Retail,RET Resources - Free Text VAE  (PP-SE-US-0741),Thyroid Leave Behind
Retevmo,Lung,VEEVA_EMAIL,1017401,,NICK;SINGLETON;NPP_NON_TARGET,5/2/2022,8/31/2023,8/31/2023,Efficacy,NSCLC CwL,Retail,RET HCP NSCLC Efficacy VAE PP-SE-US-0721,
Retevmo,Lung,VEEVA_EMAIL,1006081,1445976,NICK;SINGLETON;NPP_NON_TARGET,5/29/2023,5/15/2025,5/15/2025,Efficacy,NSCLC,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),
Retevmo,Lung,VEEVA_EMAIL,1006081,1445996,NICK;SINGLETON;NPP_NON_TARGET,5/29/2023,5/15/2025,5/15/2025,Patient or Customer Support,,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),
Retevmo,Overall,VEEVA_EMAIL,1477164,1477167,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,6/12/2023,5/31/2025,5/31/2025,Efficacy,Tumor Agnostic,Retail,RET Key Messages - Free Text VAE (PP-SE-US-1223),
Retevmo,Overall,VEEVA_EMAIL,1006081,948326,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,5/29/2023,8/31/2023,8/31/2023,Efficacy,Tumor Agnostic,Retail,RET Resources - Free Text  VAE (PP-SE-US-0741),
Retevmo,Overall,VEEVA_EMAIL,1006081,1474016,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,5/29/2023,2/28/2025,2/28/2025,Efficacy,Tumor Agnostic,Retail,RET Resources - Free Text  VAE (PP-SE-US-0741),
Retevmo,Overall,VEEVA_EMAIL,1477222,,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,6/1/2023,6/1/2024,6/1/2024,Efficacy,Tumor Agnostic,Retail,Retevmo-HCP-All-VAE-Tumor Agnostic (PP-SE-US-1246),
Retevmo,Overall,VEEVA_EMAIL,1017401,,NICK;SINGLETON;AGNOSTIC;NPP_NON_TARGET,10/4/2021,5/31/2023,5/31/2023,Efficacy,NSCLC CwL,Retail,RET NSCLC CNS Efficacy VAE PP-SE-US-0721,
Retevmo,Overall,VEEVA_EMAIL,1006081,1311892,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,5/29/2023,5/31/2025,5/31/2025,Patient or Customer Support,,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),
Retevmo,Overall,VEEVA_EMAIL,1006081,1362604,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,5/29/2023,2/28/2025,2/28/2025,Patient Affordability,,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),
Retevmo,Overall,VEEVA_EMAIL,1477164,1477178,NICK;SINGLETON;THEO;NPP_NON_TARGET,6/12/2023,5/31/2025,5/31/2025,Diagnostic,,Retail,RET Key Messages - Free Text VAE (PP-SE-US-1223),
Retevmo,Overall,VEEVA_EMAIL,1477164,1477172,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,6/12/2023,5/31/2025,5/31/2025,Patient Type or Identification,,Retail,RET Key Messages - Free Text VAE (PP-SE-US-1223),
Retevmo,Overall,VEEVA_EMAIL,1477164,1477174,NICK;SINGLETON;THEO;NPP_NON_TARGET,6/12/2023,5/31/2025,5/31/2025,Guidelines,,Retail,RET Key Messages - Free Text VAE (PP-SE-US-1223),
Retevmo,Overall,VEEVA_EMAIL,669302,,NICK;SINGLETON;THEO;NPP_NON_TARGET,10/4/2021,8/31/2023,8/31/2023,Efficacy,Core,Retail,RET HCP Summary VAE (Label Update Q1 2021) PP-SE-US-0715,
Retevmo,Thyroid,VEEVA_EMAIL,1006081,992646,NICK;SINGLETON;THEO;NPP_NON_TARGET,5/29/2023,2/28/2025,2/28/2025,Efficacy,Thyroid,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),
Retevmo,Thyroid,VEEVA_EMAIL,1006081,1123567,NICK;SINGLETON;THEO;NPP_NON_TARGET,5/29/2023,2/28/2025,2/28/2025,Patient or Customer Support,Thyroid,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),
Retevmo,Thyroid,VEEVA_EMAIL,787389,,NICK;SINGLETON;THEO;NPP_NON_TARGET,10/4/2021,11/30/2023,11/30/2023,Efficacy,Thyroid,Retail,RET HCP Thyroid-only VAE PP-SE-US-0751,
