metric_sk,sugg_key,sugg_name,salesforce_id,suggestion_type,frequency,FRAGMENT_ID,FRAGMENT_ORDER,Insight_type,Cloud_Tag_1,Cloud_Tag_2,Cloud_Tag_3,Insight_Metric_1,Insight_Metric_2,Insight_Metric_3
9d88ca5b3cd44a60bb1e592500056057,VER_EBC_6,VER_EBC_6,ONC_PORTFOLIO,INSIGHT,Weekly,,,NA,,,,,,
49540ce0f6094bea98a54f1a8dafdc6c,MNJ_T2D_16 | Others - Not on Playbook,MNJ_T2D_16,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
49540ce0f6094bea98a54f1a8dafdc6c,MNJ_T2D_16 | Others - Not on Playbook,MNJ_T2D_16,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
49540ce0f6094bea98a54f1a8dafdc6c,MNJ_T2D_16 | Others - Not on Playbook,MNJ_T2D_16,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
819f093dd24e42539a1160f370e87514,MNJ_T2D_17 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_17,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
819f093dd24e42539a1160f370e87514,MNJ_T2D_17 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_17,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
819f093dd24e42539a1160f370e87514,MNJ_T2D_17 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_17,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
a7e29238dfdf4ce98380f33645329c9e,MNJ_T2D_18 | Others - Not on Playbook,MNJ_T2D_18,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
a7e29238dfdf4ce98380f33645329c9e,MNJ_T2D_18 | Others - Not on Playbook,MNJ_T2D_18,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
a7e29238dfdf4ce98380f33645329c9e,MNJ_T2D_18 | Others - Not on Playbook,MNJ_T2D_18,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
123ed13f9560446cb06c0df11fc266c3,MNJ_T2D_19 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_19,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
123ed13f9560446cb06c0df11fc266c3,MNJ_T2D_19 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_19,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
123ed13f9560446cb06c0df11fc266c3,MNJ_T2D_19 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_19,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
d62a510454a24414bcc036ea81a91791,MNJ_T2D_20 |G - Signal when competitor product/class prescription is higher than Lilly product/class in recent period.,MNJ_T2D_20,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
d62a510454a24414bcc036ea81a91791,MNJ_T2D_20 |G - Signal when competitor product/class prescription is higher than Lilly product/class in recent period.,MNJ_T2D_20,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
d62a510454a24414bcc036ea81a91791,MNJ_T2D_20 |G - Signal when competitor product/class prescription is higher than Lilly product/class in recent period.,MNJ_T2D_20,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
8f81f322901b442c8d36caadd529e44d,ZEP_OSA_01 | P - Signal when there's a patient with certain lab test result which indicates opportunity for Lilly product,ZEP_OSA_01,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
8f81f322901b442c8d36caadd529e44d,ZEP_OSA_01 | P - Signal when there's a patient with certain lab test result which indicates opportunity for Lilly product,ZEP_OSA_01,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
8f81f322901b442c8d36caadd529e44d,ZEP_OSA_01 | P - Signal when there's a patient with certain lab test result which indicates opportunity for Lilly product,ZEP_OSA_01,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
7fb58ed37c1b4237bab8a74b8f613cbe,Ebglyss_AD_10,Ebglyss_AD_10,Derm_1,Insight,NA,,,NA,,,,,,
7fb58ed37c1b4237bab8a74b8f613cbe,Ebglyss_AD_10,Ebglyss_AD_10,Derm_2,Insight,NA,,,NA,,,,,,
