SOURCE_NAME|SOURCE_PRODUCT_NAME|TARGET_NAME|TARGET_PRODUCT_NAME|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|BUSINESS_UNIT|ACTIVE
FIA_PRODUCT_MAPPING|US_708122_723224||ZEPBOUND|M|US_708122|LDO|Y
FIA_PRODUCT_MAPPING|US_708122_864716||ZEPBOUND|M|US_708122|LDO|Y
FIA_PRODUCT_MAPPING|US_304547_598010||OLUMIANT|M|US_304547_598010|IMM|N
CALL_ACTIVITY_FIA|CHRONIC WEIGHT MANAGEMENT|ZS|723224|PROD_SK||LDO|Y
CALL_ACTIVITY_FIA|ALOPECIA AREATA|ZS|598010|PROD_SK||BMBU_IMM|N
FIA_METRICS|JARDIANCE T2D|PROD_IND_SK|US_304544_DS057|||LDO|N
FIA_METRICS|JARDIANCE|PROD|US_304544|||LDO|N
FIA_METRICS|KISUNLA ALZ|PROD_IND_SK|US_708120_708233|||ALZ|Y
FIA_METRICS|KISUNLA|PROD_SK|US_708120|||ALZ|Y
FIA_METRICS|ZEPBOUND OSA|PROD_IND_SK|US_708122_864716|||LDO|N
FIA_METRICS|OLUMIANT AA|PROD_IND_SK|US_304547_598010|||BMBU_IMM|N
FIA_METRICS|OLUMIANT|PROD|US_304547|||BMBU_IMM|N
FIA_SYNC_PRODUCTS|a000f00000YAdwGAAT|ZS|JARDIANCE|PROD_SK|US_304544_DS057|LDO|N
FIA_SYNC_PRODUCTS|a004R00000rzYmJQAU|ZS|ZEPBOUND|PROD_SK|US_708122|LDO|Y
FIA_SYNC_PRODUCTS|a00R700000CwJUuIAN|ZS|KISUNLA|PROD_SK|US_708120_708233|ALZ|Y
FIA_SYNC_PRODUCTS|a000f00000YAds2AAD|ZS|OLUMIANT AA|PROD_SK|US_304547_598010|BMBU_IMM|N
FIA_SYNC_INDICATION|ALOPECIA AREATA|ZS|598010|PROD_SK||BMBU_IMM|N
P2P_ACTIVITY_FI|JARDIANCE|ZS|JARDIANCE T2D|PROD_SK|US_304544_DS057|LDO|N
P2P_ACTIVITY_FI|KISUNLA|ZS|KISUNLA ALZ|PROD_SK|US_708120_708233|ALZ|Y
P2P_ACTIVITY_FI|ZEPBOUND|ZS|ZEPBOUND|PROD_SK|US_708122|LDO|Y
P2P_ACTIVITY_FI|ZEPBOUND CWM|ZS|ZEPBOUND CWM|PROD_SK|US_708122_723224|LDO|N
P2P_ACTIVITY_FI|ZEPBOUND OSA|ZS|ZEPBOUND OSA|PROD_SK|US_708122_864716|LDO|N
P2P_ACTIVITY_FI|OLUMIANT - AA|ZS|OLUMIANT AA|PROD_SK|US_304547_598010|BMBU_IMM|N
PRODUCT_MAPPING_FIA_ACTIVITY|US_304521_558393||VERZENIO_EBC||US_304521|OBU|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_304521_DS162||VERZENIO_MBC||US_304521|OBU|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_304528_DS150||TALTZ PSO||US_304528_DS150|IMM|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_304528_DS152||TALTZ PSA||US_304528_DS152|IMM|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_304544_DS057||JARDIANCE||US_304544_DS057|LDO|N
PRODUCT_MAPPING_FIA_ACTIVITY|US_304547_598010||OLUMIANT||US_304547_598010|IMM|N
PRODUCT_MAPPING_FIA_ACTIVITY|US_613009_DS057||MOUNJARO||US_613009_DS057|LDO|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_708086_430015||JAYPIRCA CLL||US_708086|OBU|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_708086_708087||JAYPIRCA MCL||US_708086|OBU|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_708120_708233||KISUNLA ALZ||US_708120_708233|ALZ|Y
